date,arrivals
2009-04-01,308
2009-04-02,313
2009-04-03,289
2009-04-04,279
2009-04-05,279
2009-04-06,347
2009-04-07,298
2009-04-08,285
2009-04-09,293
2009-04-10,252
2009-04-11,273
2009-04-12,284
2009-04-13,310
2009-04-14,338
2009-04-15,301
2009-04-16,274
2009-04-17,304
2009-04-18,303
2009-04-19,276
2009-04-20,357
2009-04-21,294
2009-04-22,319
2009-04-23,304
2009-04-24,305
2009-04-25,264
2009-04-26,294
2009-04-27,322
2009-04-28,284
2009-04-29,318
2009-04-30,281
2009-05-01,309
2009-05-02,295
2009-05-03,320
2009-05-04,312
2009-05-05,346
2009-05-06,310
2009-05-07,305
2009-05-08,305
2009-05-09,292
2009-05-10,313
2009-05-11,318
2009-05-12,325
2009-05-13,310
2009-05-14,300
2009-05-15,281
2009-05-16,276
2009-05-17,260
2009-05-18,340
2009-05-19,308
2009-05-20,315
2009-05-21,311
2009-05-22,293
2009-05-23,300
2009-05-24,318
2009-05-25,318
2009-05-26,345
2009-05-27,279
2009-05-28,306
2009-05-29,297
2009-05-30,266
2009-05-31,304
2009-06-01,336
2009-06-02,322
2009-06-03,305
2009-06-04,317
2009-06-05,304
2009-06-06,298
2009-06-07,272
2009-06-08,353
2009-06-09,318
2009-06-10,293
2009-06-11,333
2009-06-12,297
2009-06-13,298
2009-06-14,298
2009-06-15,344
2009-06-16,301
2009-06-17,307
2009-06-18,306
2009-06-19,310
2009-06-20,305
2009-06-21,281
2009-06-22,380
2009-06-23,325
2009-06-24,317
2009-06-25,318
2009-06-26,285
2009-06-27,290
2009-06-28,324
2009-06-29,368
2009-06-30,312
2009-07-01,299
2009-07-02,335
2009-07-03,332
2009-07-04,309
2009-07-05,334
2009-07-06,370
2009-07-07,308
2009-07-08,296
2009-07-09,291
2009-07-10,317
2009-07-11,277
2009-07-12,318
2009-07-13,364
2009-07-14,335
2009-07-15,299
2009-07-16,290
2009-07-17,275
2009-07-18,290
2009-07-19,302
2009-07-20,361
2009-07-21,302
2009-07-22,288
2009-07-23,285
2009-07-24,272
2009-07-25,272
2009-07-26,311
2009-07-27,318
2009-07-28,282
2009-07-29,290
2009-07-30,289
2009-07-31,305
2009-08-01,269
2009-08-02,316
2009-08-03,325
2009-08-04,281
2009-08-05,293
2009-08-06,273
2009-08-07,278
2009-08-08,247
2009-08-09,274
2009-08-10,334
2009-08-11,270
2009-08-12,302
2009-08-13,287
2009-08-14,290
2009-08-15,278
2009-08-16,291
2009-08-17,318
2009-08-18,281
2009-08-19,253
2009-08-20,295
2009-08-21,271
2009-08-22,247
2009-08-23,259
2009-08-24,310
2009-08-25,284
2009-08-26,249
2009-08-27,276
2009-08-28,271
2009-08-29,255
2009-08-30,282
2009-08-31,271
2009-09-01,338
2009-09-02,253
2009-09-03,252
2009-09-04,288
2009-09-05,268
2009-09-06,316
2009-09-07,322
2009-09-08,280
2009-09-09,288
2009-09-10,282
2009-09-11,293
2009-09-12,255
2009-09-13,276
2009-09-14,314
2009-09-15,317
2009-09-16,277
2009-09-17,316
2009-09-18,279
2009-09-19,258
2009-09-20,306
2009-09-21,352
2009-09-22,324
2009-09-23,277
2009-09-24,299
2009-09-25,285
2009-09-26,290
2009-09-27,304
2009-09-28,339
2009-09-29,318
2009-09-30,282
2009-10-01,317
2009-10-02,286
2009-10-03,281
2009-10-04,325
2009-10-05,366
2009-10-06,257
2009-10-07,297
2009-10-08,300
2009-10-09,300
2009-10-10,312
2009-10-11,320
2009-10-12,344
2009-10-13,310
2009-10-14,299
2009-10-15,306
2009-10-16,271
2009-10-17,278
2009-10-18,287
2009-10-19,353
2009-10-20,307
2009-10-21,295
2009-10-22,283
2009-10-23,267
2009-10-24,238
2009-10-25,330
2009-10-26,330
2009-10-27,287
2009-10-28,316
2009-10-29,274
2009-10-30,264
2009-10-31,275
2009-11-01,279
2009-11-02,315
2009-11-03,287
2009-11-04,292
2009-11-05,345
2009-11-06,291
2009-11-07,275
2009-11-08,280
2009-11-09,304
2009-11-10,284
2009-11-11,271
2009-11-12,302
2009-11-13,280
2009-11-14,245
2009-11-15,306
2009-11-16,299
2009-11-17,296
2009-11-18,314
2009-11-19,318
2009-11-20,283
2009-11-21,247
2009-11-22,283
2009-11-23,313
2009-11-24,319
2009-11-25,283
2009-11-26,257
2009-11-27,267
2009-11-28,267
2009-11-29,296
2009-11-30,297
2009-12-01,309
2009-12-02,295
2009-12-03,279
2009-12-04,288
2009-12-05,292
2009-12-06,302
2009-12-07,326
2009-12-08,273
2009-12-09,289
2009-12-10,284
2009-12-11,289
2009-12-12,251
2009-12-13,276
2009-12-14,297
2009-12-15,276
2009-12-16,277
2009-12-17,249
2009-12-18,203
2009-12-19,221
2009-12-20,327
2009-12-21,377
2009-12-22,266
2009-12-23,457
2009-12-24,290
2009-12-25,216
2009-12-26,297
2009-12-27,313
2009-12-28,326
2009-12-29,298
2009-12-30,257
2009-12-31,233
2010-01-01,319
2010-01-02,303
2010-01-03,270
2010-01-04,285
2010-01-05,240
2010-01-06,190
2010-01-07,264
2010-01-08,286
2010-01-09,267
2010-01-10,269
2010-01-11,277
2010-01-12,273
2010-01-13,242
2010-01-14,243
2010-01-15,262
2010-01-16,243
2010-01-17,271
2010-01-18,330
2010-01-19,306
2010-01-20,242
2010-01-21,283
2010-01-22,276
2010-01-23,258
2010-01-24,274
2010-01-25,300
2010-01-26,275
2010-01-27,251
2010-01-28,280
2010-01-29,273
2010-01-30,237
2010-01-31,320
2010-02-01,323
2010-02-02,294
2010-02-03,271
2010-02-04,294
2010-02-05,298
2010-02-06,275
2010-02-07,293
2010-02-08,283
2010-02-09,265
2010-02-10,280
2010-02-11,252
2010-02-12,267
2010-02-13,291
2010-02-14,278
2010-02-15,304
2010-02-16,293
2010-02-17,297
2010-02-18,286
2010-02-19,238
2010-02-20,262
2010-02-21,281
2010-02-22,313
2010-02-23,272
2010-02-24,287
2010-02-25,292
2010-02-26,299
2010-02-27,268
2010-02-28,286
2010-03-01,335
2010-03-02,284
2010-03-03,292
2010-03-04,326
2010-03-05,323
2010-03-06,246
2010-03-07,300
2010-03-08,322
2010-03-09,308
2010-03-10,275
2010-03-11,288
2010-03-12,288
2010-03-13,276
2010-03-14,275
2010-03-15,339
2010-03-16,289
2010-03-17,306
2010-03-18,317
2010-03-19,271
2010-03-20,310
2010-03-21,327
2010-03-22,345
2010-03-23,304
2010-03-24,295
2010-03-25,303
2010-03-26,281
2010-03-27,288
2010-03-28,311
2010-03-29,303
2010-03-30,305
2010-03-31,272
2010-04-01,297
2010-04-02,289
2010-04-03,302
2010-04-04,324
2010-04-05,296
2010-04-06,341
2010-04-07,280
2010-04-08,312
2010-04-09,300
2010-04-10,302
2010-04-11,289
2010-04-12,338
2010-04-13,272
2010-04-14,287
2010-04-15,318
2010-04-16,311
2010-04-17,288
2010-04-18,292
2010-04-19,357
2010-04-20,321
2010-04-21,270
2010-04-22,310
2010-04-23,313
2010-04-24,328
2010-04-25,320
2010-04-26,365
2010-04-27,319
2010-04-28,307
2010-04-29,312
2010-04-30,314
2010-05-01,291
2010-05-02,276
2010-05-03,280
2010-05-04,311
2010-05-05,319
2010-05-06,321
2010-05-07,294
2010-05-08,289
2010-05-09,311
2010-05-10,363
2010-05-11,309
2010-05-12,333
2010-05-13,342
2010-05-14,298
2010-05-15,296
2010-05-16,281
2010-05-17,348
2010-05-18,307
2010-05-19,339
2010-05-20,320
2010-05-21,324
2010-05-22,286
2010-05-23,297
2010-05-24,337
2010-05-25,361
2010-05-26,326
2010-05-27,312
2010-05-28,299
2010-05-29,309
2010-05-30,320
2010-05-31,313
2010-06-01,317
2010-06-02,294
2010-06-03,314
2010-06-04,303
2010-06-05,302
2010-06-06,332
2010-06-07,367
2010-06-08,289
2010-06-09,296
